cohort,variant,n_rows,n_stays,events,recalibration_intercept,recalibration_slope,auroc,auprc,brier,calibration_intercept,calibration_slope,mean_predicted_risk,observed_event_rate
MIMIC-IV internal test,unrecalibrated,1393,1026,652,0.0,1.0,0.7658962767939197,0.7539795517803614,0.1935721091052741,0.08898907638003495,0.9437670068489499,0.4483448918922206,0.4680545585068198
MIMIC-IV internal test,intercept_only,1393,1026,652,0.10528473469998906,1.0,0.7658962767939197,0.7539795517803614,0.19323207038168685,-0.010369218860563727,0.9437829922676165,0.4680545585068198,0.4680545585068198
MIMIC-IV internal test,intercept_plus_slope,1393,1026,652,0.08898907638003495,0.9437670068489499,0.7658962767939197,0.7539795517803614,0.19311228992228618,7.555570011649445e-06,1.0000175352463,0.46805391860211754,0.4680545585068198
MIMIC-III external with CRRT,unrecalibrated,4062,2930,1762,0.0,1.0,0.7611409959038642,0.7025228099910356,0.19716387462514778,-0.2301236609143465,0.8661849641874251,0.47517776455465294,0.43377646479566717
MIMIC-III external with CRRT,intercept_only,4062,2930,1762,-0.2235418749443045,1.0,0.7611409959038642,0.7025228099910356,0.19558745758971854,-0.03663823613111407,0.8661500107158284,0.4337764647956671,0.43377646479566717
MIMIC-III external with CRRT,intercept_plus_slope,4062,2930,1762,-0.2301236609143465,0.8661849641874251,0.7611409959038642,0.7025228099910356,0.1949259977476487,-0.0001343169362365566,0.9999728548553642,0.4338015762758338,0.43377646479566717
SICdb sensitivity external,unrecalibrated,685,347,128,0.0,1.0,0.5869473743267505,0.22774582792833564,0.35473104448085513,-1.6514071582503518,0.2842667496808437,0.6070922537226278,0.18686131386861313
SICdb sensitivity external,intercept_only,685,347,128,-2.321395489177215,1.0,0.5869473743267505,0.22774582792833564,0.16206295711148258,-0.9929208379180958,0.28379069379771094,0.18686131386861313,0.18686131386861313
SICdb sensitivity external,intercept_plus_slope,685,347,128,-1.6514071582503518,0.2842667496808437,0.5869473743267505,0.22774582792833564,0.15013390912830174,0.0017206748107281371,1.0013781973572589,0.18686864381187948,0.18686131386861313
